Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1779,4,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1783,4,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1822,3,Estratovolcán,Historical,False,False,Merapi (Java)
1840,3,Estratovolcán,Historical,False,False,Tinakula (Santa Cruz Is-SW Pac)
1845,2,Estratovolcán,Historical,True,True,Soputan (Sulawesi-Indonesia)
1847,2,Estratovolcán,Historical,False,False,Fogo (Cape Verde Is)
1856,3,Estratovolcán,Historical,True,True,Awu (Sangihe Is-Indonesia)
1861,4,Estratovolcán,Historical,False,False,Makian (Halmahera-Indonesia)
1903,1,Domo de lava,Historical,False,False,Okataina (New Zealand)
1951,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1954,2,Estratovolcán,Historical,False,False,Bam (New Guinea-NE of)
1958,,Estratovolcán,Tephrochronology,False,False,Daisetsu (Hokkaido-Japan)
1962,2,Estratovolcán,Historical,False,False,Gamalama (Halmahera-Indonesia)
1969,2,Estratovolcán,Historical,False,False,Merapi (Java)
1973,3,Estratovolcán,Historical,False,False,Paluweh (Lesser Sunda Is)
1974,3,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1978,,Estratovolcán,Historical,False,False,Tangkubanparahu (Java)
1983,4,Estratovolcán,Historical,False,False,Colo [Una Una] (Sulawesi-Indonesia)
1987,2,Estratovolcán,Historical,False,False,Etna (Italy)
1994,3,Estratovolcán,Historical,False,False,Rinjani (Lesser Sunda Is)
1996,3,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1997,3,Estratovolcán,Historical,False,False,Soufriere Hills (W Indies)
1999,3,Estratovolcán,Historical,False,False,Guagua Pichincha (Ecuador)
2001,2,Estratovolcán,Historical,False,False,Merapi (Java)
2002,1,Estratovolcán,Historical,False,False,Nyiragongo (Africa-C)
2011,,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2012,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2012,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
1631,,Volcán en escudo,Historical,False,True,Dama Ali (Africa-NE)
1659,4,Estratovolcán,Historical,True,False,Teon (Banda Sea)
1664,,Volcán complejo,Historical,True,False,Iwo-Tori-shima (Ryukyu Is)
1707,,Volcán en escudo,Historical,True,False,Santorini (Greece)
1729,2,Caldera,Historical,False,False,Krafla (Iceland-NE)
1780,4,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1835,,Caldera,Historical,False,True,Banda Api (Banda Sea)
1843,,Estratovolcán,Historical,True,False,Soufriere Guadeloupe (W Indies)
1854,5,Estratovolcán,Historical,False,False,Shiveluch (Kamchatka)
1856,,Estratovolcán,Historical,True,False,Shishaldin (Aleutian Is)
1860,2,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1868,,Estratovolcán,Historical,True,True,Etna (Italy)
1872,4,Estratovolcán,Historical,False,False,Merapi (Java)
1875,0,Estratovolcán,Historical,False,False,Kelut (Java)
1878,,Estratovolcán,Historical,True,True,Yasur (Vanuatu-SW Pacific)
1909,2,Estratovolcán,Historical,False,True,"Cameroon, Mt. (Africa-W)"
1914,3,Caldera,Historical,False,False,Pago (New Britain-SW Pac)
1917,1,Domo de lava,Historical,False,False,Okataina (New Zealand)
1930,2,Caldera,Historical,True,False,Krakatau (Indonesia)
1930,3,Estratovolcán,Historical,True,False,Stromboli (Italy)
1934,,Estratovolcán,Historical,False,False,Hood (US-Oregon)
1946,4,Estratovolcán,Historical,True,False,Sarychev Peak (Kuril Is)
1954,,Estratovolcán,Historical,True,False,Stromboli (Italy)
1955,3,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1962,,Estratovolcán,Historical,False,False,Merapi (Java)
1990,4,Estratovolcán,Historical,False,False,Kelut (Java)
1993,1,Volcán complejo,Historical,False,False,Unzen (Kyushu-Japan)
2010,3,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2014,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2016,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2019,4,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
2019,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
