Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1707,4,Estratovolcán,Historical,False,True,Fuji (Honshu-Japan)
1826,2,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
1832,2,Estratovolcán,Historical,False,False,Etna (Italy)
1835,5,Estratovolcán,Historical,False,False,Cosiguina (Nicaragua)
1860,,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1871,2,Estratovolcán,Historical,False,False,Gamalama (Halmahera-Indonesia)
1872,4,Estratovolcán,Historical,False,False,Sinarka (Kuril Is)
1899,4,Estratovolcán,Historical,False,False,Dona Juana (Colombia)
1905,2,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1924,2,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
1931,3,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1947,2,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1957,2,Estratovolcán,Historical,False,True,Vsevidof (Aleutian Is)
1963,2,Caldera,Historical,False,False,Batur (Lesser Sunda Is)
1967,3,Estratovolcán,Historical,False,False,"Lengai, Ol Doinyo (Africa-E)"
1969,3,Estratovolcán,Historical,False,False,Iya (Lesser Sunda Is)
1988,3,Estratovolcán,Historical,False,False,Semeru (Java)
1990,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1994,,Estratovolcán,Historical,False,True,Huila (Colombia)
1999,4,Estratovolcán,Historical,False,False,Shiveluch (Kamchatka)
1999,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
2019,2,Estratovolcán,Historical,False,False,White Island (New Zealand)
920,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1104,5,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1151,1,Filas de cráteres,Historical,False,False,Krisuvik (Iceland-SW)
1206,2,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1329,3,Estratovolcán,Historical,True,True,Etna (Italy)
1485,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1550,3,Volcán complejo,Historical,False,False,Dukono (Halmahera-Indonesia)
1576,3,Estratovolcán,Historical,False,False,Colima (Mexico)
1580,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1598,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1730,2,Respiradero de fisura,Historical,False,False,Lanzarote (Canary Is)
1772,3,Estratovolcán,Historical,False,False,Papandayan (Java)
1781,4,Estratovolcán,Historical,True,False,Sakura-jima (Kyushu-Japan)
1826,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1840,0,Volcán en escudo,Historical,True,False,Kilauea (Hawaiian Is)
